Date,Income,Expense,time
26/06/2018,0.0,30.0,11:52:12
25/06/2018,0.0,320.0,14:11:08
25/06/2018,0.0,2074.0,08:11:11
24/06/2018,0.0,40.0,18:45:44
24/06/2018,0.0,18.0,07:15:19
24/06/2018,0.0,72.0,07:33:52
24/06/2018,0.0,211.75,07:24:12
24/06/2018,0.0,30.0,15:34:29
24/06/2018,0.0,157.0,02:06:43
24/06/2018,0.0,60.0,09:18:38
23/06/2018,0.0,2545.0,01:48:57
23/06/2018,0.0,30.0,18:32:31
22/06/2018,0.0,181.0,04:40:22
19/06/2018,0.0,2000.0,18:34:47
19/06/2018,0.0,25.0,10:54:58
18/06/2018,0.0,15.0,13:30:23
16/06/2018,0.0,8500.0,05:37:03
15/06/2018,0.0,15.0,06:50:42
15/06/2018,0.0,1213.6,23:43:23
13/06/2018,0.0,5000.0,10:29:44
13/06/2018,0.0,5000.0,11:39:41
11/6/2018,0.0,84.0,23:07:33
11/6/2018,0.0,1407.0,16:17:51
10/6/2018,0.0,3000.0,15:56:14
9/6/2018,0.0,667.0,12:15:52
7/6/2018,0.0,1000.0,23:37:10
1/6/2018,0.0,12500.0,20:03:19
1/6/2018,0.0,2000.0,20:11:58
31/05/2018,65134.0,0.0,03:20:45
30/05/2018,88.0,0.0,05:03:32
28/05/2018,0.0,25.0,23:47:04
28/05/2018,0.0,100.0,19:20:15
27/05/2018,28.0,0.0,00:32:07
27/05/2018,0.0,75.0,05:56:54
26/05/2018,0.0,50.0,06:55:17
24/05/2018,0.0,667.0,05:40:40
23/05/2018,0.0,166.0,08:27:26
22/05/2018,0.0,154.0,22:02:44
22/05/2018,0.0,11043.0,03:00:10
21/05/2018,0.0,140.0,18:38:59
20/05/2018,0.0,122.0,03:03:05
19/05/2018,0.0,25.0,18:26:32
19/05/2018,0.0,15.0,09:13:54
18/05/2018,0.0,301.0,05:35:16
15/05/2018,0.0,135.0,05:56:20
15/05/2018,0.0,30.0,11:29:09
15/05/2018,0.0,21500.0,14:51:24
15/05/2018,0.0,50.0,14:23:59
14/05/2018,21.0,0.0,05:18:02
14/05/2018,0.0,301.0,09:03:06
14/05/2018,0.0,40.0,01:57:16
14/05/2018,0.0,50.0,07:53:40
14/05/2018,0.0,15.0,19:33:34
14/05/2018,0.0,1250.0,01:21:29
14/05/2018,0.0,40.0,10:22:44
14/05/2018,0.0,40.0,04:30:50
13/05/2018,0.0,77.0,11:59:08
13/05/2018,0.0,12.0,05:01:33
13/05/2018,20.0,0.0,16:32:01
13/05/2018,0.0,5000.0,18:51:29
13/05/2018,0.0,5000.0,21:07:33
12/5/2018,0.0,437.0,14:43:24
12/5/2018,0.0,70.0,03:41:25
12/5/2018,0.0,48.0,03:49:57
12/5/2018,0.0,72.0,11:33:08
11/5/2018,0.0,20.0,11:55:06
10/5/2018,0.0,80.0,07:22:21
10/5/2018,947.0,0.0,13:37:18
9/5/2018,0.0,12.0,05:15:10
9/5/2018,0.0,45.0,09:32:19
9/5/2018,0.0,36.0,19:19:33
9/5/2018,0.0,199.0,01:13:01
8/5/2018,0.0,500.0,12:29:06
8/5/2018,0.0,72.0,10:31:54
8/5/2018,0.0,50.0,20:37:00
7/5/2018,0.0,1086.0,01:47:46
7/5/2018,0.0,20.0,18:31:23
7/5/2018,0.0,515.0,11:14:01
7/5/2018,0.0,430.0,23:56:20
7/5/2018,0.0,72.0,15:29:32
7/5/2018,0.0,1000.0,13:39:02
6/5/2018,3000.0,0.0,15:59:03
5/5/2018,0.0,600.0,22:36:40
4/5/2018,0.0,37.0,01:45:30
4/5/2018,0.0,72.0,01:44:01
3/5/2018,0.0,40.0,11:10:07
2/5/2018,0.0,280.0,22:26:28
1/5/2018,0.0,72.0,13:09:43
1/5/2018,0.0,43.0,01:43:38
1/5/2018,0.0,122.0,23:48:38
1/5/2018,0.0,260.0,17:42:34
1/5/2018,0.0,12500.0,18:15:42
1/5/2018,0.0,2000.0,00:40:04
1/5/2018,0.0,10000.0,10:37:31
30/04/2018,0.0,72.0,18:34:50
30/04/2018,0.0,165.0,12:07:22
30/04/2018,0.0,176.0,14:29:40
30/04/2018,0.0,45.0,18:04:47
30/04/2018,0.0,72.0,14:00:15
30/04/2018,0.0,500.0,21:09:45
29/04/2018,0.0,40.0,22:20:11
29/04/2018,65134.0,0.0,13:13:47
28/04/2018,0.0,413.0,10:03:06
28/04/2018,0.0,500.0,17:03:28
27/04/2018,0.0,295.0,17:20:58
26/04/2018,0.0,30.0,06:16:51
26/04/2018,0.0,72.0,15:10:48
26/04/2018,0.0,1000.0,23:24:17
25/04/2018,0.0,70.0,04:09:37
24/04/2018,0.0,157.0,23:08:25
23/04/2018,0.0,38.0,11:37:51
23/04/2018,0.0,500.0,08:23:39
22/04/2018,0.0,10.0,07:04:21
22/04/2018,0.0,190.0,19:22:07
22/04/2018,0.0,72.0,07:20:01
21/04/2018,0.0,160.0,13:04:12
21/04/2018,0.0,20.0,11:38:57
20/04/2018,0.0,70.0,13:39:54
19/04/2018,0.0,14.0,21:53:05
